time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
1.1,0.92458387894364,-1.4860455328648914,1.7233791380126657,-1.958628914255701,-1.5479531099998942,-2.461522649992127,-0.3064642311827467,-0.6999456438498857,0.5595895292634177,0.7863095737972375,-0.6131365876899768,0.01265994290935793,0.07497002625202756
1.2,0.9310673391075637,-1.4857855685850574,1.6937529488822773,-1.9608750091516034,-1.5478670269024257,-2.430106723456228,-0.30601299257501335,-0.7074354296635004,0.5802916601768117,0.7776953973655748,-0.6219263359229027,0.014671068357175833,0.09045585307304611
1.3,0.9375507992714871,-1.485525604305223,1.664126759751889,-1.9631211040475054,-1.5477809438049568,-2.398690796920328,-0.30510978864670724,-0.7144478626151087,0.6011883263771144,0.7687929351223023,-0.630437919092574,0.01726917785916285,0.10586419872803615
1.4,0.9440342594354107,-1.485265640025389,1.6345005706215008,-1.9653671989434076,-1.547694860707488,-2.3672748703844286,-0.30376075056996493,-0.7209704729726694,0.622260888348465,0.7596100736605719,-0.6386634561515889,0.02045120831895559,0.12117455940989635
1.5,0.9505177195993342,-1.485005675745555,1.6048743814911137,-1.9676132938393098,-1.5476087776100194,-2.3358589438485304,-0.30197255225701086,-0.726991284845993,0.6434905427581309,0.7501549193340635,-0.6465952928398124,0.02421338566982348,0.13636655099659264
1.6,0.9570011797632572,-1.4847457114657208,1.575248192360728,-1.9698593887352116,-1.5475226945125509,-2.304443017312634,-0.29975239832932976,-0.7324988335492217,0.6648583392909697,0.7404357917498808,-0.6542260077943354,0.02855122949400202,0.15141993367979734
1.7000000000000002,0.9634846399271801,-1.4844857471858868,1.5456220032303427,-1.9721054836311138,-1.5474366114150822,-2.273027090776737,-0.2971080114076667,-0.7374821823693676,0.6863451976221134,0.7304612170916104,-0.6615484184727791,0.03345955849483274,0.16631463641705901
1.8,0.9699681000911031,-1.4842257829060528,1.5159958140999574,-1.9743515785270156,-1.5473505283176134,-2.2416111642408407,-0.29404761874140856,-0.7419309387176344,0.7079319245126052,0.7202399212779003,-0.6685555868852219,0.03893249681501979,0.1810307811779783
1.9,0.9764515602550261,-1.4839658186262188,1.4863696249695717,-1.9765976734229178,-1.5472644452201447,-2.2101952377049443,-0.29057993819676686,-0.7458352696410464,0.729599231012616,0.7097808229620369,-0.6752408251301814,0.04496348119330381,0.19554870695513352
2.0,0.9829350204189491,-1.4837058543463846,1.4567434358391862,-1.9788437683188198,-1.547178362122676,-2.1787793111690474,-0.2867141636240312,-0.7491859166726849,0.7513277497567398,0.6990930263781293,-0.6815977007302577,0.051545268950829656,0.20984899351076403
